"","X","ResponseId","Q409","eBMRQ_total","BMRQ_emotion","BMRQ_sensorimotor","BMRQ_moodreg","BMRQ_musicseek","BMRQ_socialreward","BMRQ_absorption","Gold_total","Gold_activeengagement","Gold_perceptualabilities","Gold_musicaltraining","Gold_singingabilities","Gold_emotion","Gold_musicalsophistication","AIMS_total","PASS_total","PASS_sex","PASS_eating","PASS_touch","PASS_feeling","PASS_sound","PASS_vision","PASS_movement","PASS_temperature","PASS_general","PASS_smell","PASS_noaud","name","value","stim","rating","pre_post","stim_type","location","group"
"3",385,"R_12Sr81cOotEDG2l","Yanny",59,11,5,12,11,12,8,3.05405405405405,1.88888888888889,4.88888888888889,1,2.42857142857143,4.83333333333333,1.88888888888889,51,19,1,1,3,0,8,2,2,0,0,1,11,"X1_Q397",3,1,"liking","pre","illusion","boston","Musical Anhedonics"
"16",2881,"R_1f9sT6FeIWyRxYg","Yanny",67,12,16,16,10,9,4,3,1.11111111111111,4.55555555555556,1,3.85714285714286,4.5,2.27777777777778,41,8,0,0,4,1,3,0,0,0,0,0,5,"X1_Q397",3,1,"liking","pre","illusion","boston","Musical Anhedonics"
"53",9985,"R_2amEfEg6T23UDF3","Laurel",66,13,13,16,7,9,8,2.91891891891892,1.33333333333333,4.88888888888889,1.16666666666667,3.57142857142857,3.33333333333333,2.33333333333333,56,18,3,0,4,0,5,3,1,1,0,0,13,"X1_Q397",2,1,"liking","pre","illusion","boston","Musical Anhedonics"
"106",20161,"R_2shymaO0Q94c7S9","Laurel",65,17,5,17,11,9,6,2.05405405405405,1.55555555555556,2.44444444444444,1,1.42857142857143,4,1,70,13,1,0,2,0,5,1,2,2,0,0,8,"X1_Q397",7,1,"liking","pre","illusion","boston","Musical Anhedonics"
"113",21505,"R_2Wx3O1pEXReiQOh","Laurel",58,13,5,9,9,10,12,3.62162162162162,2.11111111111111,5.77777777777778,2,2.71428571428571,5.33333333333333,2.66666666666667,85,14,0,0,4,0,5,1,1,1,0,1,9,"X1_Q397",5,1,"liking","pre","illusion","boston","Musical Anhedonics"
"126",24001,"R_34Ej6A4wQyz1Oo1","Yanny",54,6,7,15,14,6,6,3.48648648648649,3,5.11111111111111,2.66666666666667,2.42857142857143,3.83333333333333,2.72222222222222,55,14,1,0,3,0,5,0,1,2,0,1,9,"X1_Q397",6,1,"liking","pre","illusion","boston","Musical Anhedonics"
"130",24769,"R_3a8yLXQdoDn58TD","Yanny",62,14,20,5,9,5,9,2.51351351351351,1.11111111111111,5.11111111111111,1,2.28571428571429,2.5,1.66666666666667,49,22,1,0,4,0,6,1,6,3,1,0,16,"X1_Q397",9,1,"liking","pre","illusion","boston","Musical Anhedonics"
"139",26497,"R_3fNSEQhjSeWpQAf","Yanny",68,4,12,12,12,13,15,2.94594594594595,2,4.88888888888889,1,2.85714285714286,3.5,2,87,13,0,2,5,0,2,1,0,2,0,1,11,"X1_Q397",9,1,"liking","pre","illusion","boston","Musical Anhedonics"
"145",27649,"R_3hcNxgFhd6VdcEH","Laurel",57,12,15,7,8,8,7,2.67567567567568,1,5.44444444444444,1,1.57142857142857,4,1.44444444444444,62,21,3,2,4,0,8,3,0,1,0,0,13,"X1_Q397",7,1,"liking","pre","illusion","boston","Musical Anhedonics"
"149",28417,"R_3IY0rzENNxbk1OO","Laurel",43,11,5,9,5,9,4,1.54054054054054,1,1.66666666666667,1,1.57142857142857,2.66666666666667,1.16666666666667,46,8,0,0,3,0,3,0,1,1,0,0,5,"X1_Q397",5,1,"liking","pre","illusion","boston","Musical Anhedonics"
