,ResponseId,Q409,eBMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,name,value,stim,rating,pre_post,stim_type
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X1_Q397,5,1,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X2_Q397,2,2,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X3_Q397,3,3,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X4_Q397,5,4,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X5_Q397,3,5,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X6_Q397,5,6,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X7_Q397,3,7,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X8_Q397,6,8,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X9_Q397,4,9,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X10_Q397,4,10,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X11_Q397,4,11,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X12_Q397,3,12,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X13_Q397,3,13,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X14_Q397,4,14,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X15_Q397,2,15,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X16_Q397,4,16,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X17_Q397,3,17,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X18_Q397,6,18,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X19_Q397,2,19,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X20_Q397,5,20,liking,pre,illusion
