ResponseId,Q409,eBMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud
R_10BZYeX3XO3OsF4,Yanny,88,16,14,16,12,15,15,4.052631579,4.666666667,4.444444444,3.428571429,3.166666667,4.833333333,3.333333333,123,29,1,4,7,0,3,4,6,1,1,2,26
R_12s4n0snYp9PS03,Yanny,89,18,13,17,13,15,13,4.105263158,4,4.444444444,2.142857143,6.166666667,4.666666667,4.055555556,127,34,4,5,3,0,6,6,6,1,1,2,28
R_12Sr81cOotEDG2l,Yanny,59,11,5,12,11,12,8,3,1.888888889,4.888888889,1,2.833333333,4.833333333,1.888888889,51,19,1,1,3,0,8,2,2,0,0,1,11
R_13sbBbAoAGA5IZP,Yanny,116,18,20,20,20,20,18,5.736842105,5.777777778,6.222222222,4.714285714,6.166666667,6.666666667,5.777777778,139,6,0,0,2,0,2,1,1,0,0,0,4
R_18MY83R5ZFoyBO0,Yanny,65,10,6,14,11,14,10,3,2.777777778,4.333333333,3,2,2.833333333,2.666666667,72,33,1,3,6,0,5,10,3,3,0,1,28
R_1Alb56QjvuZVK13,Yanny,84,14,13,15,12,15,15,4.184210526,4.222222222,4.222222222,3.428571429,5.666666667,4.166666667,4.222222222,122,29,2,3,2,0,7,5,5,3,1,0,22
R_1atqIMMLzIB04Gg,Yanny,94,17,17,18,14,14,14,4.026315789,3.444444444,5.555555556,2.142857143,5.166666667,4.333333333,3.611111111,94,25,1,3,5,1,5,3,2,2,0,2,20
R_1c10gmQGXEnKg69,Laurel,98,19,20,17,8,17,17,4.236842105,2.444444444,5.111111111,3.285714286,5.5,6.166666667,3.888888889,125,2,1,0,0,0,1,0,0,0,0,0,1
R_1d5O9IKNCEovoeF,Yanny,109,19,20,17,15,20,18,4.842105263,4.888888889,4.333333333,5.285714286,6.166666667,4.5,5.222222222,146,8,0,1,0,0,1,2,1,2,0,1,7
R_1dsBNrJxeq54NfU,Yanny,105,20,17,20,17,15,16,4.289473684,4,5.444444444,4.142857143,2,6.166666667,2.944444444,120,9,1,0,3,0,2,0,0,1,0,1,7
R_1dtzGlP9q0sveOn,Yanny,88,20,19,16,9,9,15,3.736842105,2.111111111,5.333333333,1.428571429,5.166666667,5.666666667,3.166666667,108,23,1,3,4,1,3,1,4,2,1,2,20
R_1dXPwlOpDGhHfed,Laurel,94,18,18,17,13,12,16,3.578947368,2.555555556,5.111111111,1.142857143,3.5,6.333333333,2.222222222,121,7,0,0,1,0,3,1,0,2,0,0,4
R_1EBcfBQ6h6VUx4S,Laurel,98,20,15,20,16,16,11,4.289473684,2.444444444,6.333333333,3,4,6.5,3.555555556,106,5,0,0,3,0,2,0,0,0,0,0,3
R_1EjdT9ode7Le3IJ,Yanny,113,20,18,20,17,20,18,5.631578947,5.777777778,5.666666667,3.428571429,7.5,7,5.333333333,142,8,2,1,1,0,3,1,0,0,0,0,5
R_1f3YO7udYXGlVzV,Laurel,81,16,14,16,11,11,13,3.526315789,2.222222222,5.111111111,1.428571429,4.666666667,5,2.777777778,104,9,1,0,1,0,4,1,0,2,0,0,5
R_1f9sT6FeIWyRxYg,Yanny,67,12,16,16,10,9,4,2.947368421,1.111111111,4.555555556,1,4.5,4.5,2.277777778,41,8,0,0,4,1,3,0,0,0,0,0,5
R_1fqR3OeGuqE3jcC,Laurel,82,14,13,16,14,14,11,3.789473684,3.222222222,4.555555556,3.142857143,3.666666667,5,3.5,92,8,1,1,2,0,1,1,1,0,0,1,7
R_1FxqglmxK3yJkwp,Yanny,98,20,18,20,13,18,9,3.973684211,3.777777778,3.666666667,2,5.166666667,6.5,3.555555556,97,13,3,1,2,1,3,1,1,1,0,0,10
R_1g7kKGpL4ZMGfxe,Yanny,80,18,10,13,11,14,14,3.736842105,2.333333333,4.888888889,1.857142857,4.833333333,5.833333333,3.277777778,97,16,0,1,5,0,4,0,2,3,0,0,12
R_1GeoYKOOlj3WsMJ,Yanny,89,20,17,17,13,16,6,4.289473684,3,5.777777778,1.857142857,5.166666667,6.666666667,3.666666667,79,19,4,2,2,1,2,1,5,0,1,0,17
R_1gLsYa56F7t4qpx,Yanny,114,20,20,20,18,20,16,6.157894737,5.444444444,7,4.285714286,8.333333333,7,6.222222222,150,4,1,0,1,0,2,0,0,0,0,0,2
R_1HoafWuz0HdTe3y,Laurel,81,16,16,15,9,14,11,4,3,6.222222222,1.142857143,4.5,5.666666667,3,101,5,0,0,1,0,1,1,0,2,0,0,4
R_1ILvC1s2YU34dEm,Yanny,86,14,13,16,16,14,13,4.631578947,4.777777778,5.111111111,3.857142857,4.5,5.5,4.555555556,106,8,0,0,4,0,2,0,1,0,0,1,6
R_1JKG2eWdldOTdze,Yanny,59,9,8,18,10,4,10,NA,2.555555556,3.888888889,NA,3.666666667,4.5,NA,77,27,2,5,7,1,5,3,1,3,0,0,22
R_1jYyd5SBIqUPLmZ,Laurel,82,15,12,17,16,11,11,3.815789474,4.222222222,4.666666667,1.714285714,3.666666667,5.166666667,3.555555556,83,15,1,1,3,0,6,1,1,1,0,1,9
R_1MnnqwoG3lHCfQd,Yanny,111,20,17,20,18,16,20,4.210526316,3.666666667,5.444444444,2,5.166666667,5.5,4.222222222,147,13,3,2,2,0,3,1,1,1,0,0,10
R_1N1YGFYeQiNtTaA,Laurel,93,14,16,17,14,13,19,5.394736842,3.555555556,6.555555556,5.857142857,6.666666667,5.5,5.333333333,135,10,0,0,5,0,2,0,0,2,0,1,8
R_1NxIWvuevalKD9X,Yanny,86,16,17,13,17,15,8,3.973684211,3.888888889,4.777777778,2.571428571,3.5,5.666666667,3.222222222,87,5,1,0,3,0,0,1,0,0,0,0,5
R_1pLUbCnGqPh4NMd,Yanny,90,17,15,17,12,16,13,4.921052632,2.777777778,6.444444444,4,6.666666667,6,4.833333333,101,5,0,1,1,0,1,0,0,1,0,1,4
R_1pndZePK7Ivqike,Yanny,94,12,20,19,16,12,15,3.605263158,3.333333333,4.222222222,1,5.333333333,5,2.777777778,125,11,0,0,2,0,3,2,2,2,0,0,8
R_1RmeEcGhdlKMvyc,Laurel,89,17,12,16,16,17,11,3.815789474,4.222222222,4,3.142857143,4.833333333,3.333333333,3.611111111,94,30,0,3,4,0,7,5,6,2,0,2,23
R_1s6zyk7GFlHKhfi,Yanny,90,15,19,18,15,16,7,4.315789474,3.444444444,6.111111111,2.428571429,4.666666667,5.5,3.833333333,96,5,1,0,2,0,1,0,0,0,0,0,4
R_1SGgVsTz2paXa40,Yanny,76,14,9,19,12,16,6,4.289473684,2.444444444,5.333333333,4.142857143,6,4.666666667,4.333333333,52,22,0,1,6,0,2,5,4,2,1,1,20
R_1StoQRCMl3v70J3,Yanny,85,18,19,18,7,12,11,2.526315789,1.333333333,4.111111111,1,2.833333333,3.833333333,1.666666667,88,14,0,4,3,1,2,1,3,0,0,0,12
R_1TZQPMzP4mtp2H1,Yanny,108,20,18,19,15,17,19,4.263157895,3.333333333,6.111111111,1.714285714,5.333333333,5.5,3.444444444,141,11,1,1,4,1,1,1,0,0,0,1,10
R_1usPeXpRHafzrz2,Laurel,70,14,10,15,13,9,9,4.105263158,3.222222222,4.888888889,2.714285714,5.5,5.166666667,3.5,79,4,1,1,1,0,0,0,0,1,0,0,4
